Aide au démarrage en côte,Alimentation électrique,Allumage automatique des feux,Bouton Start & Stop,Clé intelligente,Climatisation,Détecteur de pluie,Direction assistée,Fermeture centralisée,Frein de stationnement éléctrique,Limiteur de vitesse,Ordinateur de bord,Régulateur de vitesse,Rétroviseur intérieur,Rétroviseurs extérieurs,Sélecteur de modes de conduite,Sièges avant réglables en hauteur,Système Start & Stop,Vitres électriques,Volant réglable,Accoudoirs,Appuis têtes arrières,Autoradio,Connectivité,Ecran,Pommeau de levier de vitesse,Sellerie,Sièges,Tableau de bord,Vitres,Volant,Aide au stationnement,Antibrouillards,Eléments extérieurs couleur carrosserie,Feux à LED,Jantes,Phares,Spoiler arrière,Carrosserie,Hauteur,Largeur,Longueur,Nombre de places,Nombre de portes,Peinture,Volume du coffre,0-100 Km/h,Consommation extra-urbaine,Consommation mixte,Consommation urbaine,Vitesse maxi,Boîte,Couple,Cylindrée,Energie,Nombre de cylindres,Nombre de rapports,Puissance (ch.din),Puissance fiscale,Transmission,ABS,Airbags,Anti-démarrage électronique,Anti-patinage,Assistance au freinage,Fixations ISOFIX,Surveillance d’angle mort,Garantie,prix,description,Modes de conduite,Dynamic Response,Autonomie électrique,Stores pare-soleil,Volume du coffre avant,Temps de recharge rapide,GPS,Consommation électrique,Capot moteur actif,Volume du coffre maximal,Lave Phares,Kit rangement,Détecteur de fatigue,Système de récupération d,Temps de recharge rapid,Détection des piétons,Kit sécurité,Instrumentation digitale,Coffre à bagages,Frein de stationnement,Emissions de CO2,Alerte de circulation transversale,Caméra d,Pack aérodynamique M,Caméra de recul,Ordinateur de Bord,Temps de recharge normale,Type,Aileron arrière,Sideblades,Contrôle de pression des pneus,Rétroviseur Intérieur,Volant et pommeau de levier de vitesse en cuir,Empattement,Tapis de sol,Rideau de benne,Arceau de benne,Éclairage d,Aide au Stationnement,Carte mains libres,Instrumentation numérique,Suspension,Contrôle du roulis de la remorque,Pack Sport Chrono,Financement,Boulons de roues protégés,Lumières d,Baguettes extérieures d,Sièges réglables en hauteur,Aide au maintien dans la voie,Airbags frontaux,Stabilisateur de vent latéral,Pédaliers,Cloison entre cabine et compartiment arrière,Consommation électrique WLTP,Fermeture assistée des portes,Différentiel autobloquant,Seuils de portes,Marchepieds latéraux,Ceintures de securite,Kit éclairage,Version pays chauds,Anti-Patinage,Alerte de franchissement de ligne,Ecran central,Sorties d’échappement,Puissance électrique,Caméra latérale,Magic Wash,Frein de parking électrique,SYSTÈME START & STOP,DSC,Freinage,Ciel de pavillon,Contrôle adaptatif de la charge,Voiture populaire,Radar de Stationnement,Nombre de moteurs électriques,ALARME ANTIVOL,Injection,ECRAN,Reconnaissance des panneaux,Kit fumeurs,Volume utile,RADAR DE STATIONNEMENT,Finition intérieure,Surface de chargement,Alarme antivol,Autonomie électrique WLTP,Navigation,4 roues directrices,Toit,Autonomie WLTP,Avertisseur de changement de voie,Contrôle de stabilité anti-retournement,Kit carrosserie,Affichage tête haute,Airbags rideaux,Frein de parking éléctrique,Charge utile,Boîte à gants réfrigérée,Assistant de feux de route,Poignées de portes,Feux de position à LED,Train roulant,Prise 12V,Airbags latéraux,Pneumatiques runflat,Baguettes extérieures d'encadrement des vitres,Préparation pour téléphone,Barre stabilisatrice,Poids total en charge,Spoiler Arrière,Barres de toit,Anti-démarrage,Pack nuit,Radar de stationnement,Système de descente en côte,Puissance avec overboost (ch.din),Clé Intelligente,Nombre de moteurs,Terrain Response,Degivrage lunette arriere,Autonomie NEDC,Conduite autonome,Boule d,Batterie,Lumières d'ambiance,Calandre,Couple électrique
Oui,,Oui,Démarrage mains libres,,Automatique,Oui,Oui,À distance,Oui,,Oui,Oui,,Électriques | Dégivrants | Éclairage d,Normal | Confort | Sport | Eco,Conducteur,Oui,Avant/Arrière,En hauteur et en profondeur,Avant,3,8 haut-parleurs | Commandes au volant,USB | Bluetooth | Commande vocale,Tactile,Cuir,Tissu,Réglage lombaire,,Teintées,Cuir | 3 branches | Multi-fonctions,Radar de recul | Radar avant,Oui,Oui,Avant | Arrières,En aluminium | 16,,,Berline,1434 mm,1814 mm,4630 mm,5,4,,503 L,8.2 s,5.4 L/100 km,6.2 L/100 km,7.7 L/100 km,205 KM/H,Manuelle,260 nm 1750 tr/min,1332 CM³,Essence,4,6,140 CH,8 CV,Traction,Oui,Frontaux | Latéraux,Oui,ESP,AFU,Oui,,2 ans ou 100.000 km,101500 DT,Renault Megane Sedan1.3 L TCE 140,,,,,,,Cartographie Tunisienne,,,,,,,,,,,,,,141 g/km,,,,,,,,,,Oui,,,,Oui,,,,,Oui,Oui,,,,,,LED | 5 Couleurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aluminium brossé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oui,,Oui,Démarrage mains libres,,Automatique,Oui,Oui,À distance,Oui,,Oui,Oui,,Électriques | Dégivrants | Éclairage d,Normal | Confort | Sport | Eco,Conducteur,Oui,Avant/Arrière,En hauteur et en profondeur,Avant,3,8 haut-parleurs | Commandes au volant,USB | Bluetooth | Commande vocale,Tactile,Cuir,Tissu,Réglage lombaire,,Teintées,Cuir | 3 branches | Multi-fonctions,Radar de recul | Radar avant,Oui,Oui,Avant | Arrières,En aluminium | 16,,,Berline,1434 mm,1814 mm,4630 mm,5,4,,503 L,8.8 s,5.4 L/100 km,6.2 L/100 km,6.4 L/100 km,212 KM/H,Automatique,240 nm 1750 tr/min,1332 CM³,Essence,4,7,140 CH,8 CV,Traction,Oui,Frontaux | Latéraux,Oui,ESP,AFU,Oui,,2 ans ou 100.000 km,109900 DT,Renault Megane Sedan1.3 L TCE 140 BVA,,,,,,,Cartographie Tunisienne,,,,,,,,,,,,,,134 g/km,,,,,,,,,,Oui,,,,Oui,,,,,Oui,Oui,,,,,,LED | 5 Couleurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aluminium brossé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139900 DT,Renault Austral1.3 L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 prise 12 V,,,,Manuelle,,Oui,À distance,,,Oui,,,Électriques,,,,Avant,,,,Commandes sous le volant,USB | Bluetooth,,,Tissu,,,,,,,,Feux de jour,15,,,Utilitaire,1842 mm,1751 mm,4363 mm,2,4 | 1 porte latérale coulissante | 2 portes arrières battantes tolées,,,13 s,,6.1 L/100 km,,163 KM/H,Manuelle,240 nm 1750 tr/min,1461 CM³,Diesel,4,6,95 CH,5 CV,Traction,Oui,Frontaux,Oui,,AFU,,,2 ans ou 100.000 km,56500 DT,Renault Express Van1.5 L DCi,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,Tapis de coffre PVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3 m³,,,,,,,,,,,,,,,,750 KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Manuelle,,Oui,,,,,,,,,,,Avant,,Avant,,,,,,Tissu,,,Teintées,,,,,,,,,Utilitaire,2287 mm,2070 mm,5048 mm,3,2 | 1 porte latérale coulissante | 2 portes arrières battantes tolées,,,9.7 s,7.1 L/100 km,7.8 L/100 km,9.1 L/100 km,196 KM/H,Manuelle,310 nm 1250 tr/min,2298 CM³,Diesel,4,6,125 CH,8 CV,Traction,Oui,Frontal conducteur,Oui,,AFU,,,2 ans ou 100.000 km,84900 DT,Renault Master2.3 L 8M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,8 m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Manuelle,,Oui,,,,,,,,,,,Avant,,Avant,,,,,,Tissu,,,Teintées,,,,,,,,,Utilitaire,2287 mm,2070 mm,5548 mm,3,2 | 1 porte latérale coulissante | 2 portes arrières battantes tolées,,,9.7 s,7.1 L/100 km,7.8 L/100 km,9.1 L/100 km,196 KM/H,Manuelle,310 nm 1250 tr/min,2298 CM³,Diesel,4,6,125 CH,8 CV,Traction,Oui,Frontal conducteur,Oui,,AFU,,,2 ans ou 100.000 km,87950 DT,Renault Master2.3 L 10.8 M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10.8 m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Manuelle,,Oui,,,,,,,,,,,Avant,,Avant,,,,,,Tissu,,,Teintées,,,,,,,,,Utilitaire,2475 mm,2070 mm,6198 mm,3,2 | 1 porte latérale coulissante | 2 portes arrières battantes tolées,,,9.7 s,7.1 L/100 km,7.8 L/100 km,9.1 L/100 km,196 KM/H,Manuelle,310 nm 1250 tr/min,2298 CM³,Diesel,4,6,125 CH,8 CV,Traction,Oui,Frontal conducteur,Oui,,AFU,,,2 ans ou 100.000 km,89950 DT,Renault Master2.3 L 13 M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,13 m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oui,1 prise 12 V,,Démarrage mains libres,Accès mains libres | Démarrage à distance,Automatique,,EPS | Électrique,À distance,,,Oui,Oui,,Électriques | Dégivrants,Eco,Conducteur,,Avant/Arrière,En hauteur et en profondeur,Avant,3,4 haut-parleurs | Commandes au volant,2 USB | Apple Carplay | Android Auto | Bluetooth | Commande vocale,Tactile | 8 pouces,Cuir,Tissu,,,,Multi-fonctions,Caméra de recul,,Poignées de portes | Rétroviseurs,Feux de jour | Arrières,En aluminium | 15,,,Berline,1467 mm,1748 mm,4553 mm,5,4,,519 L,10.2 s,4.8 L/100 km,5.4 L/100 km,7 L/100 km,196 KM/H,Automatique,145 nm 4300 tr/min,1498 CM³,Essence,4,,120 CH,6 CV,Traction,Oui,Frontaux,Oui,VSA,EBD,Oui,,3 ans,78990 DT,Honda City1.5 L Cvt Lx,,,,,,,,,,,,Poches aumônières,,,,,,,Ouverture à distance,,,,,,,,,,,,Oui,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chromée,
Oui,1 prise 12 V,,Démarrage mains libres,Accès mains libres | Démarrage à distance,Automatique,,EPS | Électrique,À distance,,,Oui,Oui,,Électriques | Dégivrants | Avec capuchons noirs,Eco,Conducteur,,Avant/Arrière,En hauteur et en profondeur,Avant,3,4 haut-parleurs | Commandes au volant,2 USB | Apple Carplay | Android Auto | Bluetooth | Commande vocale,Tactile | 8 pouces,Cuir,Cuir,,,,Multi-fonctions | Avec palettes,Radar de recul | Caméra de recul,LED,Poignées de portes,Feux de jour | Arrières,En aluminium | 16,,Oui,Berline,1467 mm,1748 mm,4553 mm,5,4,,519 L,10.2 s,4.8 L/100 km,5.4 L/100 km,7 L/100 km,196 KM/H,Automatique,145 nm 4300 tr/min,1498 CM³,Essence,4,,120 CH,6 CV,Traction,Oui,Frontaux,Oui,VSA,EBD,Oui,,3 ans,82990 DT,Honda City1.5 L Cvt Lx Sport +1.5 L Cvt Lx Sport,,,,,,,,,,,,Poches aumônières,,,,,,,Ouverture à distance,,,,,,,,,,,,Oui,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noire,
Oui,1 prise 12 V,,Démarrage mains libres,Accès mains libres | Démarrage à distance,Automatique,,EPS | Électrique,À distance,,,Oui,Oui,,Électriques | Dégivrants | Avec capuchons noirs,Eco,Conducteur,,Avant/Arrière,En hauteur et en profondeur,Avant,3,4 haut-parleurs | Commandes au volant,2 USB | Apple Carplay | Android Auto | Bluetooth | Commande vocale,Tactile | 8 pouces,Cuir,Cuir,,,,Multi-fonctions | Avec palettes,Radar de recul | Caméra de recul,LED,Poignées de portes,Feux de jour | Arrières,En aluminium | 16,,Oui,Berline,1467 mm,1748 mm,4553 mm,5,4,,519 L,10.2 s,4.8 L/100 km,5.4 L/100 km,7 L/100 km,196 KM/H,Automatique,145 nm 4300 tr/min,1498 CM³,Essence,4,,120 CH,6 CV,Traction,Oui,Frontaux,Oui,VSA,EBD,Oui,,3 ans,82990 DT,Honda City1.5 L Cvt Lx Sport +1.5 L Cvt Lx Sport,,,,,,,,,,,,Poches aumônières,,,,,,,Ouverture à distance,,,,,,,,,,,,Oui,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noire,
Autohold | HSA,1 prise 12 V,Oui,Démarrage mains libres,Accès mains libres,Automatique,Oui,EPS,À distance,,,Oui,Adaptatif,Anti-éblouissement,Électriques | Rabattables | Avec clignotants intégrés,,,,Avant/Arrière,En hauteur et en profondeur,Avant,,4 haut-parleurs,4 USB | Android Auto | Apple Carplay | Bluetooth | Commande vocale,,,Cuir/Tissu,,,,Cuir | Chauffant | Multi-fonctions,Radar de recul | Radar avant | Caméra de recul,LED,Oui,Feux de jour,En aluminium | 16,Full LED,,Citadine,1487 mm,1694 mm,4047 mm,5,5,,304 L,"9,4 s","4,2 L/100 km","3,6 L/100 km","2,5 L/100 km",174 KM/H,Automatique,131 nm 4500 tr/min,1498 CM³,Essence | Hybride,4,,108 CH,5 CV,Traction,Oui,Frontaux | Latéraux | Rideaux | Centraux,Oui,VSA,EBA | EBD | ESS |  Freinage automatique anti-collision,Oui,,3 ans,85990 DT,Honda Jazz1.5 L E-HEV,Normal | Eco,,,,,,,,,1205 L,,,,,,,,,,Éléctrique,,Rear Cross Traffic Monitor,,,,,,,,,TPMS,,,,Oui,,,,,,,,,,,,,,Conducteur et passager,LKA,,,,,,,,,,,,,,LDW,Tactile | 9 pouces,,122 CH,,,,,,,,,,,2,,,,Oui,,,,,,Oui,,,,,,,,,,,,,,HBSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,253 nm
HSA,1 prise 12 V,Oui,,Accès mains libres,Automatique | Ventilation arrière,Oui,EPS | Électrique,À distance,Oui,,Oui,,,Électriques | Rabattables | Avec clignotants intégrés,Normal | Sport | Eco,Conducteur,Oui,Avant/Arrière,En hauteur et en profondeur,Avant | Arrière,3,4 haut-parleurs | Commandes au volant,Apple Carplay | 4 USB | Android Auto | Bluetooth | Commande vocale,Tactile | 8 pouces,Cuir,Cuir perforé,,,,Cuir | Multi-fonctions,Caméra de recul,LED,Poignées de portes,Feux de jour | Avant | Arrières,En aluminium | 18,Full LED,,SUV,1581 mm,1790 mm,4385 mm,5,5,,335 L,11.4 s,5.4 L/100 km,6.1 L/100 km,7.5 L/100 km,187 KM/H,Automatique,145 nm 4300 tr/min,1498 CM³,Essence,4,,119 CH,7 CV,Traction,Oui,Frontaux | Latéraux | Rideaux,Oui,VSA,EBA | EBD | ESS,Oui,,3 ans ou 100.000 KM,127900 DT,Honda HR-V1.5 L CVT EX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chromée,,Oui,,,,Panoramique,,,,,,,,,,,,,,,,,,,,,,,,,,HDC,,,,,,,,,,,Noire,
Autohold | HSA,1 prise 12 V,Oui,Démarrage mains libres,Accès mains libres | Démarrage à distance,Automatique | Bizone | Ventilation arrière,Oui,EPS | Électrique,À distance,,,Oui,Oui,Anti-éblouissement,Électriques | Dégivrants | Avec clignotants intégrés,,,,Avant/Arrière,En hauteur et en profondeur,Avant | Arrière,3,4 haut-parleurs | Commandes au volant,2 USB | Android Auto | Apple Carplay | Bluetooth | Commande vocale,,,Cuir,,,,Cuir | Multi-fonctions,Radar de recul | Radar avant | Caméra de recul,LED,Pare-chocs | Poignées de portes | Rétroviseurs,Feux de jour | Avant | Arrières,En aluminium | 17,Full LED,,Berline,1432 mm,1802 mm,4679 mm,5,4,,419 L,8.3 s,5.1 L/100 km,6.2 L/100 km,8.1 L/100 km,200 KM/H,Automatique,220 nm 4500 tr/min,1498 CM³,Essence,4,,178 CH,10 CV,Traction,Oui,Frontaux | Latéraux | Rideaux,Oui,VSA,EBA | EBD | ESS,Oui,,3 ans,159990 DT,Honda Civic1.5 L CVT,Normal | Sport | Eco,,,,,,,,,,,Porte-lunettes,Oui,,,,,,,Éléctrique,,,,,,,,,,,Oui,,,,Oui,,,,,,7 pouces,,,,,,,,Conducteur et passager,,,,,,,,,,,,,,,,Tactile | 9 pouces,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,Ouvrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noire,
Autohold | HSA,1 prise 12 V,Oui,Démarrage mains libres,Accès mains libres | Démarrage à distance,Automatique | Bizone | Ventilation arrière,Oui,EPS | Électrique,À distance,,,Oui,Oui,Anti-éblouissement,Électriques | Dégivrants | Avec clignotants intégrés,,,,Avant/Arrière,En hauteur et en profondeur,Avant | Arrière,3,4 haut-parleurs | Commandes au volant,2 USB | Android Auto | Apple Carplay | Bluetooth | Commande vocale,,,Cuir,,,,Cuir | Multi-fonctions,Radar de recul | Radar avant | Caméra de recul,LED,Pare-chocs | Poignées de portes | Rétroviseurs,Feux de jour | Avant | Arrières,En aluminium | 17,Full LED,,Berline,1432 mm,1802 mm,4679 mm,5,4,,419 L,7.1 s,5.0 L/100 km,4.0 L/100 km,2.3 L/100 km,180 KM/H,Automatique,189 nm 4500 tr/min,1993 CM³,Essence | Hybride,4,,143 CH,7 CV,Traction,Oui,Frontaux | Latéraux | Rideaux,Oui,VSA,EBA | EBD | ESS,Oui,,3 ans,186990 DT,Honda Civic Hybride2.0 L E-HEV,Normal | Sport | Eco,,,,,,,,,,,Porte-lunettes,Oui,,,,,,,Éléctrique,,,,,,,,,,,Oui,,,,Oui,,,,,,7 pouces,,,,,,,,Conducteur et passager,,,,,,,,,,,,,,,,Tactile | 9 pouces,,184 CH,,,,,,,,,,,2,,,,,,,,,,Oui,,,,Ouvrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noire,315 nm
,,,,,Oui,,Oui,à clé,,,,,,,,,,Avant/Arrière,,,,,,,,,,,,,,,,,,,,,,,5200,2,2,,,,,,,,5 AV + 1 AR,,,,4,,79 ch,8 CV,,,,,,,,,,53906 DT,ISUZU DMAX 2P4x2,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUV,,,,,,3095,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,injection directe (100 % Mécanique ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,,,,,,,,,,,Oui,,,,,,,
,,,,,Oui,,Oui,À distance,,,,,,,,,,Avant/Arrière,,,,,,,,,,,,,,,,,,,,,,,5200,5,4,,,,,,,,5 AV + 1 AR,,,,4,,79 ch,8 CV,,,,,,,,,,64902 DT,ISUZU DMAX 4P4x2,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUV,,,,,,3095,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700 kg,,,,,,,,,,,,,,,,,,
,,,,,Oui,,Oui,À distance,,,,,,,,,,Avant/Arrière,,,,,,,,,,,,,,,,,,,,,,,5200,5,4,,,,,,,,5 AV + 1 AR,,,,4,,109 ch,8 CV,,,,,,,,,,73517 DT,ISUZU DMAX 4P4x4,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUV,,,,,,3095,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,directe Common rail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800 kg,,,,,,,,,,,Oui,,,,,,,
,1 prise 12 V,,,,Manuelle,,Électrique,À distance,,,,,,Électriques,,,,Avant/Arrière,En hauteur,,,2 haut-parleurs,USB | Bluetooth,Tactile | 7 pouces,,Tissu,,,,3 branches | Multi-fonctions,,,Oui,,En aluminium | 15,,,Berline,1515 mm,1670 mm,4245 mm,5,4,,450 L,12.5 s,N.C,4.4 L/100 km,N.C,174 KM/H,Manuelle,100 nm 4000 tr/min,1193 CM³,Essence,3,5,78 CH,4 CV,Traction,Oui,Frontaux,,,,,,3 ans,34662 DT,Mitsubishi attrage populaire1.2 L GLX BVM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 prise 12 V,Oui,,,Automatique,Oui,Électrique,À distance,,,Oui,,Anti-éblouissement,Électriques | Avec clignotants intégrés,,,,Avant/Arrière,En hauteur,Avant,,4 haut-parleurs | Commandes au volant,USB | AUX | Bluetooth,Tactile,,Tissu,,,,,Radar de recul | Caméra de recul,Oui,Oui,,En aluminium | 18,,Oui,SUV,1674 mm,1805 mm,4405 mm,5,5,,378 L,9.7 s,7.1 L/100 km,6.6 L/100 km,7.9 L/100 km,200 KM/H,Automatique,250 nm 2400 tr/min,1499 CM³,Essence,4,,150 CH,8 CV,Traction,Oui,Frontaux | Latéraux,,,Freinage automatique anti-collision,,,3 ans ou 100.000 KM,107000 DT,Mitsubishi Eclipse Cross1.5 T-MIVEC CVT,,,,,,,,,,,,,,,,,,,Cache Bagages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chrome,,,,,,,,,,,,,,,,,,Chromées,,,,,,,,,,,,,,,,,Oui,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,Noires,,,,,,,,,,,,,,,,
,,Oui,,Accès mains libres,Automatique,Oui,Oui,À distance,,,Oui,Oui,,Électriques | Rabattables | Dégivrants,,,,Avant/Arrière,En hauteur et en profondeur,Avant | Arrière,,7 haut-parleurs | Commandes au volant,USB | Bluetooth,Tactile,,Cuir,Électriques | Chauffants,,,Multi-fonctions,Radar de recul | Caméra de recul,Oui,Oui,Feux de jour | Avant,En aluminium | 17,,,SUV,1620 mm,1770 mm,4300 mm,5,5,,442 L,11.4 s,6.4 L/100 km,7.6 L/100 km,8.9 L/100 km,183 KM/H,Automatique,197 nm 4200 tr/min,1998 CM³,Essence,4,6,150 CH,9 CV,Intégrale,Oui,Frontaux | Latéraux,Oui,ESP,EBA,,,3 ans,131700 DT,Mitsubishi asx2.0 L BVA,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chrome,,,,,,,,,,,,,,,,,,Chromées,,,,,,,,,,,,,,,,,Oui,,,,,Oui,,,,Panoramique,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,Chromée,
,,,,,Manuelle,,Électrique,À distance,,,,,,,,,,Avant/Arrière,En hauteur,Avant,,2 haut-parleurs,USB,,,Tissu,,,,,,Oui,,,En aluminium | 16,,,Pick up,1775 mm,1815 mm,5220 mm,5,4,,,15 s,,8.3 L/100 km,,167 KM/H,Manuelle,200 nm 3500 tr/min,2477 CM³,Diesel,4,5,110 CH,8 CV,Intégrale,Oui,Frontaux,Oui,,EBD,,,3 ans ou 100.000 KM,155000 DT,Mitsubishi L200 DOUBLE CABINE2.5 L Did Gl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000 KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Manuelle,,Oui,À distance,,,,,,,,,,Avant,En hauteur et en profondeur,,,Oui,,,,Tissu,,,Teintées,,,,,,17,,,SUV,1870 mm,1875 mm,4900 mm,7,5,,663 L,16.8 s,10.7 L/100 km,12.5 L/100 km,15.5 L/100 km,150 KM/H,Manuelle,292 nm 2000 tr/min,2835 CM³,Diesel,4,5,125 CH,11 CV,Intégrale,Oui,Frontaux,Oui,ESP,AFU | EBD,,,3 ans,196500 DT,Mitsubishi PAJERO 2.8 L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Automatique | Bizone,,Oui,À distance,,,,,,Électriques | Chromés,,,Oui,Avant/Arrière,En hauteur et en profondeur,Avant | Arrière,,6 haut-parleurs,USB | Bluetooth,,,Tissu,,,Teintées,Multi-fonctions,,Oui,,,17,,,SUV,1800 mm,1815 mm,4825 mm,7,5,,971 L,11.4 s,,7.4 L/100 km,,182 KM/H,Manuelle,430 nm 3500 tr/min,2442 CM³,Diesel,4,5,181 CH,11 CV,Intégrale,Oui,Frontaux,Oui,Oui,AFU | EBD,,,3 ans,243500 DT,Mitsubishi Pajero Sport2.4 L DiD Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,Chromés,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chromées,,,,,,,,,,,,,,,,
,,,,,Automatique | Bizone,Oui,Oui,À distance,,,,Oui,,Électriques | Chromés,,,Oui,Avant/Arrière,En hauteur et en profondeur,Avant | Arrière,,10 haut-parleurs,USB | Bluetooth,,,Cuir,,,Teintées,Multi-fonctions,Radar de recul | Caméra de recul,Oui,,,En aluminium | 18,,,SUV,1800 mm,1815 mm,4825 mm,7,5,,971 L,11.4 s,,7.4 L/100 km,,182 KM/H,Automatique,430 nm 3500 tr/min,2442 CM³,Diesel,4,,181 CH,11 CV,Intégrale,Oui,Frontaux,Oui,Oui,AFU | EBD,,,3 ans,267700 DT,Mitsubishi Pajero Sport2.4 L DiD Premium BVA,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,Chromés,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,Ouvrant | Panoramique,,,,,,,,,,,,,,,,,,,,,,Chromées,,,,,,,,,,,,,,,,
