,Marque,Modele,Annee,BoiteVitesse,Kilometrage,Energie,PuissanceFiscale,Prix
315,SUZUKI,DZIRE,2020.0,Manuelle,78000 km,Diesel,5 cv,37 000 DT
316,MERCEDES,CLASSE C,2012.0,Manuelle,145000 km,Essence,9 cv,63 000 DT
317,BMW,SERIE 2 GRAN COUPE,2021.0,Automatique,43000 km,Essence,10 cv,130 000 DT
318,RENAULT,R19,1997.0,Manuelle,480000 km,Essence,7 cv,11 000 DT
319,CHERY,TIGGO 2,2020.0,Manuelle,47000 km,Essence,6 cv,46 500 DT
320,VOLKSWAGEN,,1998.0,Manuelle,12000 km,Diesel,5 cv,12 500 DT
322,CITROEN,BERLINGO B9,2018.0,Manuelle,183000 km,Diesel,5 cv,35 000 DT
323,PEUGEOT,207,2009.0,Manuelle,200000 km,Diesel,6 cv,24 000 DT
324,PEUGEOT,206,2003.0,Manuelle,295000 km,Essence,4 cv,15 500 DT
325,FORD,FIGO,2013.0,Manuelle,180000 km,Essence,4 cv,22 000 DT
326,CITROEN,C3,2004.0,Manuelle,334000 km,Diesel,5 cv,19 000 DT
327,PEUGEOT,301,2015.0,Manuelle,113000 km,Essence,5 cv,25 000 DT
328,FIAT,FIORINO,2023.0,Manuelle,5500 km,Diesel,5 cv,44 000 DT
329,HAVAL,H6,2019.0,Automatique,135000 km,Essence,9 cv,76 500 DT
330,PEUGEOT,5008,2012.0,Manuelle,500000 km,Diesel,7 cv,33 000 DT
331,MG,6,2020.0,Automatique,53000 km,Essence,9 cv,75 000 DT
332,RENAULT,MEGANE,2012.0,Manuelle,224000 km,Essence,7 cv,33 000 DT
333,FIAT,FIORINO,2021.0,Manuelle,120000 km,Diesel,5 cv,16 000 DT
334,AUDI,A3,2014.0,Manuelle,207000 km,Diesel,5 cv,50 000 DT
335,RENAULT,CLIO 4,2021.0,Manuelle,15000 km,Diesel,4 cv,44 000 DT
337,RENAULT,CAPTUR,2015.0,Manuelle,100000 km,Essence,6 cv,42 000 DT
338,FIAT,FIORINO,2019.0,Manuelle,2019 km,Diesel,5 cv,30 500 DT
339,PEUGEOT,208,2016.0,Manuelle,122000 km,Diesel,5 cv,32 000 DT
340,FIAT,PANDA,2009.0,Manuelle,199000 km,Essence,4 cv,22 000 DT
341,VOLKSWAGEN,POLO SEDAN,2015.0,Manuelle,99000 km,Diesel,5 cv,39 000 DT
342,KIA,PICANTO,2019.0,Manuelle,88000 km,Diesel,4 cv,36 000 DT
343,CHEVROLET,SPARK,2011.0,Manuelle,219000 km,Essence,4 cv,21 900 DT
344,VOLKSWAGEN,POLO SEDAN,2015.0,Manuelle,99000 km,Diesel,5 cv,39 000 DT
345,OPEL,CORSA,1995.0,Manuelle,333000 km,Essence,4 cv,9 000 DT
346,RENAULT,SYMBOL,2010.0,Manuelle,270000 km,Essence,5 cv,20 000 DT
