Disponibilité,Carrosserie,Garantie,Nombre de places,Nombre de portes,Nombre de cylindres,Energie,Puissance fiscale,Puissance (ch.din),Couple,Cylindrée,Boîte,Nombre de rapports,Transmission,Longueur,Largeur,Hauteur,Volume du coffre,0-100 Km/h,Vitesse maxi,Consommation urbaine,Consommation extra-urbaine,Consommation mixte,ABS,Airbags,Anti-démarrage électronique,Contrôle de pression des pneus,Fixations ISOFIX,Anti-patinage,Aide au stationnement,Assistance au freinage,Alerte de franchissement de ligne,Direction assistée,Régulateur de vitesse,Limiteur de vitesse,Antibrouillards,Eléments extérieurs couleur carrosserie,Feux à LED,Jantes,Lave Phares,Phares,Autoradio,Connectivité,Ecran central,Accoudoirs,Appuis têtes arrières,Finition intérieure,Pommeau de levier de vitesse,Sellerie,Sièges,Sièges réglables en hauteur,Tapis de sol,Vitres,Volant,Volant réglable,Bouton Start & Stop,Climatisation,Fermeture centralisée,Ordinateur de bord,Système Start & Stop,Rétroviseurs extérieurs,Rétroviseur intérieur,Vitres électriques,prix,description,Peinture,Aide au maintien dans la voie,Boîte à gants réfrigérée,Rideau de benne,Stores pare-soleil,Kit rangement,Freinage,Voiture populaire,Coffre à bagages,Préparation pour téléphone,Kit sécurité,Stabilisateur de vent latéral,DSC,Poignées de portes,Spoiler arrière,Affichage tête haute,Train roulant,Charge utile,Arceau de benne,Version pays chauds,Détecteur de fatigue,Fermeture assistée des portes,Nombre de moteurs électriques,Autonomie électrique WLTP,Contrôle de stabilité anti-retournement,Allumage automatique des feux,Contrôle adaptatif de la charge,Volume utile,Aide au démarrage en côte,Calandre,Pack nuit,Toit,Puissance avec overboost (ch.din),Assistant de feux de route,Conduite autonome,Surface de chargement,Pédaliers,Volume du coffre maximal,Éclairage d'accompagnement,Boulons de roues protégés,Baguettes extérieures d'encadrement des vitres,Boule d'attelage,Kit fumeurs,4 roues directrices,Surveillance d’angle mort,Modes de conduite,Différentiel autobloquant,Clé intelligente,Cloison entre cabine et compartiment arrière,Temps de recharge normale,Instrumentation digitale,Suspension,Batterie,Terrain Response,Alerte de circulation transversale,Ciel de pavillon,Pneumatiques runflat,Kit éclairage,Marchepieds latéraux,Reconnaissance des panneaux,Frein de stationnement,Détection des piétons,Tableau de bord,Barre stabilisatrice,Puissance électrique,Caméra d'angle mort,Emissions de CO2,Seuils de portes,Couple électrique,Dynamic Response,Lumières d'ambiance,Alimentation électrique,Système de descente en côte,Carte mains libres,Navigation,Temps de recharge rapide,Pack aérodynamique M,Alarme antivol,Détecteur de pluie,Contrôle du roulis de la remorque,Barres de toit,Consommation électrique WLTP,Volume du coffre avant,Kit carrosserie,Sorties d’échappement
Sur commande,SUV,5 ans,5,5,4,Essence,21CV,300CH,400nm1500tr/min,1997CM³,Automatique,8,Intégrale,5020mm,2010mm,1970mm,786L,8.1s,191KM/H,14.8L/100 km,10.1L/100 km,11.7L/100 km,,Frontaux | Latéraux | Rideaux,,TPMS,,,Caméra panoramique 3D | Détecteurs d'obstacles à 360°,Freinage automatique anti-collision,,,,,,,Arrières,En aluminium | 19'',,LED,,Android Auto | Apple Carplay | Pivi Pro,Tactile | 10 pouces,Avant | Arrière,,,,Tissu,Électriques | 12 directions,Conducteur et passager,,,,En hauteur et en profondeur,Démarrage mains libres,Automatique | Capteur de qualité de l'air,À distance,,,Électriques | Rabattables | Dégivrants | Photosensibles | Éclairage d'accueil à LED,Anti-éblouissement,Avant/Arrière,413 000 DT TTC,Land Rover Defender 1102.0 L P300 SE,,,,,,,,,Cache Bagages,,,,,,,,,,,,,,,,,,,,,,,,,AHBA,,,,1875L,,,,,,,,,,Accès mains libres,,,,,,,,Morzine | Light Oyster,,,,,Éléctrique,,,,,,263g/km,,,,,,,,,,,Périmétrique,,,Noires,,,,
En pré-commande,SUV,5 ans,5,5,6,Essence | Hybride léger,29CV,400CH,550nm2000tr/min,2996CM³,Automatique,8,Intégrale,4946mm,2043mm,1820mm,489L,5.7s,242KM/H,14.1L/100 km,7.8L/100 km,9.4L/100 km,,Frontaux | Latéraux | Rideaux,,TPMS,,,Radar de recul | Radar avant | Caméra panoramique 3D,AFU,,,Adaptatif,,,,Feux de jour | Avant | Arrières | Clignotants à défilement,En aluminium | 21'',,Pixel LED,Meridian,USB | Android Auto | Apple Carplay | AUX | Bluetooth | iPod,13.1 pouces,Avant | Arrière,2,Fine Brushed Aluminium,Cuir,Cuir perforé | Windsor | Ebony | Cuir étendu,Électriques | Chauffants | Fonction mémoire | 20 directions,Conducteur et passager,,Teintées,Cuir | Multi-fonctions | Avec palettes,En hauteur et en profondeur,Démarrage mains libres,Automatique,À distance,,,Électriques | Rabattables | Dégivrants | Mémoire de position,Anti-éblouissement,Avant/Arrière,607 200 DT TTC,Land Rover Range Rover Sport3.0 L P400 MHEV SE,Métallisée,,,,,,,,Ouverture et fermeture motorisée,,,,,,,,,,,,,Soft close,,,,,,,,,,,,,,,,,,,,,,,,,,Accès mains libres,,,,Pneumatique,,,,Ebony | Light Cloud,,,,,Éléctrique,,Cuir,,,,,Aluminium,,,,,,,,,,Périmétrique,,,,,,,
En pré-commande,SUV,5 ans,5,5,6,Essence | Hybride rechargeable,25CV,460CH,660nm2000tr/min,2997CM³,Automatique,8,Intégrale,4946mm,2047mm,1820mm,647L,5.5s,225KM/H,,,0.8L/100 km,,Frontaux | Latéraux | Rideaux,,TPMS,,,Radar de recul | Radar avant | Caméra panoramique 3D,AFU,,,Adaptatif,,,,Feux de jour | Avant | Arrières | Clignotants à défilement,En aluminium | 21'',,Pixel LED,Meridian,USB | Android Auto | Apple Carplay | AUX | Bluetooth | iPod,13.1 pouces,Avant | Arrière,2,Fine Brushed Aluminium,Cuir,Cuir perforé | Windsor | Ebony | Cuir étendu,Électriques | Chauffants | Fonction mémoire | 20 directions,Conducteur et passager,,Teintées,Cuir | Multi-fonctions | Avec palettes,En hauteur et en profondeur,Démarrage mains libres,Automatique,À distance,,,Électriques | Rabattables | Dégivrants | Mémoire de position,Anti-éblouissement,Avant/Arrière,647 000 DT TTC,Land Rover Range Rover Sport3.0 L P460 PHEV SE,Métallisée,,,,,,,,Ouverture et fermeture motorisée,,,,,,,,,,,,,Soft close,,123km,,,,,,,,,,,,,,,,,,,,,,,,Accès mains libres,,,,Pneumatique,,,,Ebony | Light Cloud,,,,,Éléctrique,,Cuir,,,,,Aluminium,,,,,,,,,,Périmétrique,,,,,,,
Sur commande,SUV,5 ans,5,5,6,Essence | Hybride léger,24CV,400CH,550nm2000tr/min,2997CM³,Automatique,8,Intégrale,5052mm,2047mm,1870mm,818L,5.8s,242KM/H,,,9.6L/100 km,,Frontaux | Latéraux | Rideaux,,,,,Radar de recul | Radar avant | Caméra panoramique 3D,AFU,,,Adaptatif,,,Lave Phares | Pare-chocs | Poignées de portes | Rétroviseurs | Revêtement des seuils de portes | Toit,Feux de jour | Clignotants à défilement,En aluminium | 21'',,Pixel LED,14 haut-parleurs | 400W | Commandes au volant | Meridian | Subwoofer,Android Auto | Apple Carplay | Bluetooth | Chargeur à induction avec amplificateur de signal téléphonique,Tactile | 13.1 pouces,Avant | Arrière,2,Bois | Natural Brown Walnut,Cuir,Cuir perforé | Windsor | Ebony | Cuir étendu,Électriques | Chauffants | Réglage lombaire | Fonction mémoire | 20 directions,Conducteur et passager,Ebony,Vitres latérales en verre feuilleté | Vitres latérales en verre trempé,Cuir pleine fleur,En hauteur et en profondeur,Démarrage mains libres,Automatique,À distance,,,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,Anti-éblouissement,Avant/Arrière,702 500 DT TTC,Land Rover Range Rover3.0 L P400 MHEV SE,Métallisée,,,,,,,,Ouverture et fermeture motorisée | Ouverture mains libres | Cache Bagages,,,,,,,,,,,,,Soft close,,,,,,,,,,Panoramique,,,,,Métal Brillant,1841L,,,,,,,,,,Accès mains libres,,,,Pneumatique,,,,Ebony | Perlino,,,,,Éléctrique,,,,,,,Aluminium,,,30 Couleurs,,,,,,,Périmétrique,,,,,,,
Sur commande,SUV,5 ans,5,5,6,Essence | Hybride rechargeable,16CV,460CH,660nm2000tr/min,2997CM³,Automatique,8,Intégrale,5052mm,2047mm,1870mm,818L,5.7s,225KM/H,,,0.8L/100 km,,Frontaux | Latéraux | Rideaux,,,,,Radar de recul | Radar avant | Caméra panoramique 3D,AFU,,,Adaptatif,,,Lave Phares | Pare-chocs | Poignées de portes | Rétroviseurs | Revêtement des seuils de portes | Toit,Feux de jour | Clignotants à défilement,En aluminium | 21'',,Pixel LED,14 haut-parleurs | 400W | Commandes au volant | Meridian | Subwoofer,Android Auto | Apple Carplay | Bluetooth | Chargeur à induction avec amplificateur de signal téléphonique,Tactile | 13.1 pouces,Avant | Arrière,2,Bois | Natural Brown Walnut,Cuir,Cuir perforé | Windsor | Ebony | Cuir étendu,Électriques | Chauffants | Réglage lombaire | Fonction mémoire | 20 directions,Conducteur et passager,Ebony,Vitres latérales en verre feuilleté | Vitres latérales en verre trempé,Cuir pleine fleur,En hauteur et en profondeur,Démarrage mains libres,Automatique,À distance,,,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,Anti-éblouissement,Avant/Arrière,723 000 DT TTC,Land Rover Range Rover3.0 L P460 PHEV SE,Métallisée,,,,,,,,Ouverture et fermeture motorisée | Ouverture mains libres | Cache Bagages,,,,,,,,,,,,,Soft close,,121km,,,,,,,,Panoramique,,,,,Métal Brillant,1841L,,,,,,,,,,Accès mains libres,,,,Pneumatique,,,,Ebony | Perlino,,,,,Éléctrique,,,,,,,Aluminium,,,30 Couleurs,,,,,,,Périmétrique,,,,,,,
Sur commande,SUV,5 ans,5,5,8,Essence,43CV,530CH,750nm1800tr/min,4395CM³,Automatique,8,Intégrale,5052mm,2047mm,1870mm,818L,4.6s,250KM/H,14.3L/100 km,8.9L/100 km,11.8L/100 km,,Frontaux | Latéraux | Rideaux,,,,,Radar de recul | Radar avant | Caméra panoramique 3D,AFU,,,Adaptatif,,,Lave Phares | Pare-chocs | Poignées de portes | Rétroviseurs | Revêtement des seuils de portes | Toit,Feux de jour | Clignotants à défilement,En aluminium | 21'',,Pixel LED,14 haut-parleurs | 400W | Commandes au volant | Meridian | Subwoofer,Android Auto | Apple Carplay | Bluetooth | Chargeur à induction avec amplificateur de signal téléphonique,Tactile | 13.1 pouces,Avant | Arrière,2,Bois | Natural Brown Walnut,Cuir,Cuir perforé | Windsor | Ebony | Cuir étendu,Électriques | Chauffants | Réglage lombaire | Fonction mémoire | 20 directions,Conducteur et passager,Ebony,Vitres latérales en verre feuilleté | Vitres latérales en verre trempé,Cuir pleine fleur,En hauteur et en profondeur,Démarrage mains libres,Automatique,À distance,,,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,Anti-éblouissement,Avant/Arrière,1 054 000 DT TTC,Land Rover Range Rover4.4 V8 P530 HSE,Métallisée,,,,,,,,Ouverture et fermeture motorisée | Ouverture mains libres | Cache Bagages,,,,,,,,,,,,,Soft close,,,,,,,,,,Panoramique,,,,,Métal Brillant,1841L,,,,,,,,,,Accès mains libres,,,,Pneumatique,,,,Ebony | Perlino,,,,,Éléctrique,,,,,,,Aluminium,,,30 Couleurs,,,,,,,Périmétrique,,,,,,,
Disponible,SUV,5 ans,5,5,3,Essence,6CV,110CH,200nm2000tr/min,1197CM³,Manuelle,6,Traction,3995mm,1821mm,1627mm,259L,11.5s,176KM/H,,,5.9L/100 km,,Frontaux,,,,,Radar de recul,EBA,,,Cruise control,,,Pare-chocs | Poignées de portes,Arrières,En aluminium | 16'',,,4 haut-parleurs | Commandes au volant,USB | AUX | Bluetooth,Tactile | 7 pouces,Avant,,,Similicuir,Tissu,,Conducteur,,,Cuir | Multi-fonctions | Sport,En hauteur,,Manuelle,À distance,"Ecran LCD 3.5""",,Électriques | Rabattables,,Avant/Arrière,58 065 DT TTC,Mahindra XUV 3001.2 L W6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chromée,,,,,,,,,,,,,,,,Normal | Confort | Sport,,,,,,,,,,,,,,,,,,,,,,,,,,1 prise 12 V,,,,,,,,,,,,,
Disponible,SUV,5 ans,5,5,3,Essence,6CV,110CH,200nm2000tr/min,1197CM³,Manuelle,6,Traction,3995mm,1821mm,1627mm,259L,11.5s,176KM/H,,,5.9L/100 km,,Frontaux,,,,ESC | TCS,Radar de recul | Caméra de recul,EBA,,,Cruise control,,,Pare-chocs | Poignées de portes,Arrières,En aluminium | 16'',,,4 haut-parleurs | Commandes au volant,USB | Android Auto | Apple Carplay | AUX | Bluetooth,Tactile | 7 pouces,Avant,,,Similicuir,Tissu,,Conducteur,,,Cuir | Multi-fonctions | Sport,En hauteur,Démarrage mains libres,Automatique | Bizone,À distance,"Ecran LCD 3.5""",,Électriques | Rabattables | Avec clignotants intégrés,,Avant/Arrière,63 065 DT TTC,Mahindra XUV 3001.2 L W8,,,,,,Porte-lunettes,,,,,,,,,,,,,,,,,,,,,,,HHC,Chromée,,,,,,,,,,,,,,,,Normal | Confort | Sport,,Accès mains libres,,,,,,,,,,,,,,,,,,,,,,,,1 prise 12 V,,,,,,,,,,,,,
Disponible,SUV,5 ans,5,5,3,Essence,6CV,110CH,200nm2000tr/min,1197CM³,Manuelle,6,Traction,3995mm,1821mm,1627mm,259L,11.5s,176KM/H,,,5.9L/100 km,,Frontaux | Latéraux | Rideaux,,,,ESC | TCS,Radar de recul | Radar avant | Caméra de recul,EBA,,,Cruise control,,,Pare-chocs | Poignées de portes,Feux de jour | Arrières,En aluminium | 17'',,,4 haut-parleurs | Commandes au volant,USB | Android Auto | Apple Carplay | AUX | Bluetooth,Tactile | 7 pouces,Avant | Arrière,,,Similicuir,Tissu,,Conducteur,,,Cuir | Multi-fonctions | Sport,En hauteur,Démarrage mains libres,Automatique | Bizone,À distance,"Ecran LCD 3.5""",,Électriques | Rabattables | Avec clignotants intégrés,,Avant/Arrière,69 065 DT TTC,Mahindra XUV 3001.2 L W8.0,,,,,,Porte-lunettes,,,,,,,,,,,,,,,,,,,,,,,HHC,Chromée,,Ouvrant,,,,,,,,,,,,,,Normal | Confort | Sport,,Accès mains libres,,,,,,,,,,,,,,,,,,,,,,,,1 prise 12 V,,,,,,,,,,,,,
Disponible,Compacte,2 ans,5,5,4,Essence,9CV,163CH,270nm1620tr/min,1332CM³,Automatique,7,Traction,4419mm,1907mm,1423mm,370L,8.2s,225KM/H,,,6L/100 km,,Frontaux | Rideaux | Bassin,,,,ESP | ASR,Radar de recul | Radar avant | Caméra de recul,BAS,,,TEMPOMAT,,,,Feux de jour | Avant | Arrières,En aluminium | 17'',,LED Hautes performances,MBUX | Commandes au volant,USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale,Tactile | 10.25 pouces,Avant,3,,,Similicuir/Tissu,Confort,Conducteur et passager,Velours,,Multi-fonctions,En hauteur et en profondeur,Démarrage mains libres,Automatique,À distance,,,Électriques | Rabattables | Photosensibles,Anti-éblouissement,Avant/Arrière,164 000 DT TTC,Mercedes-Benz Classe A200 Progressive,,,,,,,,,,,Triangle de présignalisation | Trousse de premiers secours,,,,,,Confort,,,,Attention Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 pouces,,,,,,,,,,Éléctrique,,,,,,,,,,,,,,,,,,,,,,,Progressive Line,
Disponible,Compacte,2 ans,5,5,4,Essence,9CV,163CH,270nm1620tr/min,1332CM³,Automatique,7,Traction,4419mm,1907mm,1423mm,370L,8.2s,225KM/H,,,6L/100 km,,Frontaux | Rideaux | Bassin,,,,ESP | ASR,Radar de recul | Radar avant | Caméra de recul,BAS,,,TEMPOMAT,,,,Feux de jour | Avant | Arrières,En aluminium | 17'',,LED Hautes performances,MBUX | Commandes au volant,USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale,Tactile | 10.25 pouces,Avant,3,,,Similicuir Artico,Réglage lombaire | Confort,Conducteur et passager,Velours,,Multi-fonctions,En hauteur et en profondeur,Démarrage mains libres,Automatique,À distance,,,Électriques | Rabattables | Photosensibles,Anti-éblouissement,Avant/Arrière,175 000 DT TTC,Mercedes-Benz Classe A200 Premium,Métallisée | +5000 DT,,,,,,,,,,Triangle de présignalisation | Trousse de premiers secours,,,,,,Confort,,,,Attention Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,Accès mains libres,,,10.25'',,,,,,,,,,Éléctrique,,,,,,,,,,,,,,,,,,,,,,,Progressive Line,
Disponible,Compacte,2 ans,5,5,4,Essence,9CV,163CH,270nm1620tr/min,1332CM³,Automatique,7,Traction,4419mm,1907mm,1423mm,370L,8.2s,225KM/H,,,6L/100 km,,Frontaux | Rideaux | Bassin,,,,ESP | ASR,Radar de recul | Radar avant | Caméra de recul,BAS,,,TEMPOMAT,,,,Feux de jour | Avant | Arrières,En aluminium | 18'',,LED Hautes performances,MBUX | Commandes au volant,USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale,Tactile | 10.25 pouces,Avant,3,,,Similicuir Artico/Microfibre,Réglage lombaire | Sport | Confort,Conducteur et passager,Velours,,Multi-fonctions,En hauteur et en profondeur,Démarrage mains libres,Automatique,À distance,,,Électriques | Rabattables | Photosensibles,Anti-éblouissement,Avant/Arrière,189 000 DT TTC,Mercedes-Benz Classe A200 AMG,Métallisée | +5000 DT,,,,,,,,,,Triangle de présignalisation | Trousse de premiers secours,,,,,,Confort,,,,Attention Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,Accès mains libres,,,10.25'',,,,,,,,,,Éléctrique,,,,,,,,,,,,,,,,,,,,,,,Pack Sport AMG,
Disponible,Berline,2 ans,5,5,4,Essence,9CV,163CH,270nm1620tr/min,1332CM³,Automatique,7,Traction,4560mm,1800mm,1430mm,405L,8.2s,225KM/H,,,6L/100 km,,Frontaux | Rideaux | Bassin,,,,ESP | ASR,Radar de recul | Radar avant | Caméra de recul,BAS,,,TEMPOMAT,,,,Feux de jour | Avant | Arrières,En aluminium | 17'',,LED Hautes performances,MBUX | Commandes au volant,USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale,Tactile | 10.25 pouces,Avant,3,,,Similicuir/Tissu,Confort,Conducteur et passager,Velours,,Multi-fonctions,En hauteur et en profondeur,Démarrage mains libres,Automatique,À distance,,,Électriques | Rabattables | Photosensibles,Anti-éblouissement,Avant/Arrière,165 000 DT TTC,Mercedes-Benz Classe A Berline200 Progressive,,,,,,,,,,,Triangle de présignalisation | Trousse de premiers secours,,,,,,Confort,,,,Attention Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 pouces,,,,,,,,,,Éléctrique,,,,,,,,,,,,,,,,,,,,,,,Progressive Line,
Disponible,Berline,2 ans,5,5,4,Essence,9CV,163CH,270nm1620tr/min,1332CM³,Automatique,7,Traction,4560mm,1800mm,1430mm,405L,8.2s,225KM/H,,,6L/100 km,,Frontaux | Rideaux | Bassin,,,,ESP | ASR,Radar de recul | Radar avant | Caméra de recul,BAS,,,TEMPOMAT,,,,Feux de jour | Avant | Arrières,En aluminium | 17'',,LED Hautes performances,MBUX | Commandes au volant,USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale,Tactile | 10.25 pouces,Avant,3,,,Similicuir Artico,Réglage lombaire | Confort,Conducteur et passager,Velours,,Multi-fonctions,En hauteur et en profondeur,Démarrage mains libres,Automatique,À distance,,,Électriques | Rabattables | Photosensibles,Anti-éblouissement,Avant/Arrière,177 000 DT TTC,Mercedes-Benz Classe A Berline200 Premium,Métallisée | +5000 DT,,,,,,,,,,Triangle de présignalisation | Trousse de premiers secours,,,,,,Confort,,,,Attention Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,Accès mains libres,,,10.25'',,,,,,,,,,Éléctrique,,,,,,,,,,,,,,,,,,,,,,,Progressive Line,
Disponible,Berline,2 ans,5,5,4,Essence,9CV,163CH,270nm1620tr/min,1332CM³,Automatique,7,Traction,4560mm,1800mm,1430mm,405L,8.2s,225KM/H,,,6L/100 km,,Frontaux | Rideaux | Bassin,,,,ESP | ASR,Radar de recul | Radar avant | Caméra de recul,BAS,,,TEMPOMAT,,,,Feux de jour | Avant | Arrières,En aluminium | 18'',,LED Hautes performances,MBUX | Commandes au volant,USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale,Tactile | 10.25 pouces,Avant,3,,,Similicuir Artico/Microfibre,Réglage lombaire | Sport | Confort,Conducteur et passager,Velours,,Multi-fonctions,En hauteur et en profondeur,Démarrage mains libres,Automatique,À distance,,,Électriques | Rabattables | Photosensibles,Anti-éblouissement,Avant/Arrière,190 000 DT TTC,Mercedes-Benz Classe A Berline200 AMG,Métallisée | +5000 DT,,,,,,,,,,Triangle de présignalisation | Trousse de premiers secours,,,,,,Confort,,,,Attention Assist,,,,,,,,,,,,,,,,,,,,,,,,,,,Accès mains libres,,,10.25'',,,,,,,,,,Éléctrique,,,,,,,,,,,,,,,,,,,,,,,Pack Sport AMG,
Stock limité,Berline,2 ans,5,4,4,Essence,9CV,163CH,270nm2000tr/min,1332CM³,Automatique,7,Traction,4688mm,1830mm,1427mm,440L,8.4s,229KM/H,N.C,N.C,7L/100 km,,Frontaux | Latéraux | Rideaux | Genoux conducteur,,,,ESP | ASR,Radar de recul | Radar avant | Caméra de recul,BAS,,,TEMPOMAT,,,,Feux de jour | Avant | Arrières,En aluminium | 18'',,LED Hautes performances,MBUX | Commandes au volant,USB-C | Android Auto | Apple Carplay | Bluetooth | Chargeur de téléphone sans fil,Tactile | 10.25 pouces,Avant,3,,,Similicuir Artico,Sport,Conducteur et passager,Velours,,Cuir | Multi-fonctions | Avec palettes,En hauteur et en profondeur,Démarrage mains libres,Automatique,À distance,,,Électriques | Rabattables | Photosensibles | Avec clignotants intégrés,Anti-éblouissement  | Sans Cadre,Avant/Arrière,201 000 DT TTC,Mercedes-Benz CLA200 Progressive,Métallisée,,,,,,,,,,Triangle de présignalisation | Trousse de premiers secours,,,,,,Confort,,,,Attention Assist,,,,,,,,,,,,,,,,,,,,Chrome,,,,,,,Accès mains libres,,,10.25'',,,,,,,,,,Éléctrique,,,,,,,,,,,,,,,,,,,,,,,Progressive Line,
Stock limité,Berline,2 ans,5,4,4,Essence,9CV,163CH,270nm2000tr/min,1332CM³,Automatique,7,Traction,4688mm,1830mm,1427mm,440L,8.4s,229KM/H,N.C,N.C,7L/100 km,,Frontaux | Latéraux | Rideaux | Genoux conducteur,,,,ESP | ASR,Radar de recul | Radar avant | Caméra de recul,BAS,,,TEMPOMAT,,,,Feux de jour | Avant | Arrières,En aluminium | 18'',,LED Hautes performances,MBUX | Commandes au volant,USB-C | Android Auto | Apple Carplay | Bluetooth | Chargeur de téléphone sans fil,Tactile | 10.25 pouces,Avant,3,,,Similicuir Artico/Microfibre,Sport,Conducteur et passager,Velours,,Cuir | Multi-fonctions | Avec palettes,En hauteur et en profondeur,Démarrage mains libres,Automatique,À distance,,,Électriques | Rabattables | Photosensibles | Avec clignotants intégrés,Anti-éblouissement  | Sans Cadre,Avant/Arrière,213 000 DT TTC,Mercedes-Benz CLA200 AMG,Métallisée | +5000 DT,,,,,,,,,,Triangle de présignalisation | Trousse de premiers secours,,,,,,Confort | Châssis surbaissé,,,,Attention Assist,,,,,,,,,,,Ouvrant | Panoramique,,,,,,,,,Chrome,,,,,,,Accès mains libres,,,10.25'',,,,,,,,,,Éléctrique,,,,,,,,,,,,,,,,,,,,,,,Pack Sport AMG,
Disponible,Berline,2 ans,5,4,4,Essence | Hybride léger,9CV,170CH,250nm1800tr/min,1496CM³,Automatique,9,Propulsion,4751mm,1820mm,1437mm,455L,8.6s,231KM/H,8.7L/100 km,4.7L/100 km,6.2L/100 km,,Frontaux | Latéraux | Rideaux | Genoux conducteur,,,,ESP,Radar de recul | Radar avant | Caméra de recul | Parkassist,,,,TEMPOMAT,,,,Feux de jour | Avant | Arrières,En aluminium | 17'',,Full LED | LED Hautes performances,MBUX | Commandes au volant,USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale,11.9 pouces | Vertical | Tactile avec retour haptique,Avant,3,Inserts décoratifs aspect losanges en gris argent,,Similicuir/Tissu,Partiellement électriques | Réglage lombaire,Conducteur et passager,Velours,Teintées | Lunette et vitres arrières sur-teintées,Cuir | Multi-fonctions,En hauteur et en profondeur,Démarrage mains libres,Automatique | Bizone,À distance,,,Électriques | Rabattables | Dégivrants | Éclairage d'accueil à LED,Anti-éblouissement  | Sans Cadre,Avant/Arrière,215 000 DT TTC,Mercedes-Benz Classe C180 Avantgarde,Métallisée | +9000 DT,,,,,,,,Ouverture à distance,,Triangle de présignalisation | Trousse de premiers secours,,,,,,Agility Control,,,,Attention Assist,,,,,,,,,,,,,,,,,,,,Chrome,,,,,Confort | Sport | Eco | Sport Plus,,,,,10.25'',,,,,,,,,,Éléctrique,,,,23CH,,,,200nm,,,,,,,,,,,,,,,Avantgarde,
Disponible,Berline,2 ans,5,4,4,Essence | Hybride léger,9CV,170CH,250nm1800tr/min,1496CM³,Automatique,9,Propulsion,4751mm,1820mm,1437mm,455L,8.6s,231KM/H,8.7L/100 km,4.7L/100 km,6.2L/100 km,,Frontaux | Latéraux | Rideaux | Genoux conducteur,,,,ESP,Radar de recul | Radar avant | Système de caméras 360 | Parkassist,,,,TEMPOMAT,,,,Feux de jour | Avant | Arrières,En aluminium | 17'',,Full LED | LED Hautes performances,MBUX | Commandes au volant,USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,11.9 pouces | Vertical | Tactile avec retour haptique,Avant,3,Inserts décoratifs aspect losanges en gris argent,,Similicuir,Électriques | Réglage lombaire | Fonction mémoire,Conducteur et passager,Velours,Teintées | Lunette et vitres arrières sur-teintées,Cuir | Multi-fonctions | Avec palettes,En hauteur et en profondeur,Démarrage mains libres,Automatique | Bizone,À distance,,,Électriques | Rabattables | Photosensibles | Mémoire de position | Éclairage d'accueil à LED,Anti-éblouissement  | Sans Cadre,Avant/Arrière,249 000 DT TTC,Mercedes-Benz Classe C180 Premium,Métallisée | +9000 DT,,,,,,,,Ouverture à distance,,Triangle de présignalisation | Trousse de premiers secours,,,,,,Agility Control,,,,Attention Assist,,,,,,,,,,,Ouvrant | Panoramique,,,,,,,,,Chrome,,,,,Confort | Sport | Eco | Sport Plus,,Accès mains libres,,,12.3'',,,,,,,,,,Éléctrique,,,,23CH,,,,200nm,,,,,,,,,,,,,,,Avantgarde,
